id,answer,time
13,1. สภาพคล่องของหลักทรัพย์ ผู้ลงทุนชอบหลักทรัพย์ที่มีสภาพคล่องสูง เนื่องจากสามารถซื้อขายแลกเปลี่ยนมือได้เร็ว 2. อัตราดอกเบี้ย การเพิ่มขึ้นของอัตราดอกเบี้ยทำให้ผู้ลงทุนหันไปลงทุนในตราสารหนี้มากขึ้น 3. เงินเฟ้อ เงินเฟ้อที่สูงขึ้น ทำให้ผู้ลงทุนต้องการผลตอบแทนจากการลงทุนที่สูงขึ้น (ต้องการซื้อตราสารทุนในราคาที่ถูกลง) เพื่อชดเชยกับเงินเฟ้อ,4.038969039916992
14,เป็นตราสารหนี้ที่มีการค้ำประกันโดยบุคคลที่สาม ซึ่งผู้ค้ำประกันจะเป็นผู้ชำระหนี้ทั้งดอกเบี้ยและเงินต้นแทนให้ กรณีที่มีการผิดนัดชำระหนี้,17.959599018096924
15,* ต้องแจกจ่ายหนังสือชี้ชวนเพื่อเป็นข้อมูลประกอบการตัดสินใจให้ผู้ลงทุน * ปกติราคาเสนอขายครั้งแรก คือ 10 บาท * ระยะเวลาเสนอขายครั้งแรกต้องไม่น้อยกว่า 2 วัน,14.595365285873413
16,เกิดจากการลงทุนในตราสารหนี้ที่ไม่จ่ายดอกเบี้ย (Zero Coupon Bond) ที่มักเสนอขายในตลาดแรกที่ราคาต่ำกว่ามูลค่าหน้าตั๋ว,6.869471073150635
17,"หุ้น, ตราสารหนี้, อสังหาริมทรัพย์, ทองคำ เป็นต้น",12.98026704788208
18,"10 เม.ย.: บริษัทประกาศว่าจะจ่ายเงินปันผล ซึ่งบริษัทจะแจ้งข้อมูล จำนวนเงินที่จ่ายปันผล, วันที่ขึ้นเครื่องหมาย XD, วันที่ปิดสมุดทะเบียน, วันที่จ่ายปันผล 6 พ.ค.: วันขึ้นเครื่องหมาย XD (Exclude Dividend) ผู้ลงทุนที่ซื้อ หุ้นในวันนี้ จะไม่ได้รับเงินปันผล",4.200507879257202
19,ตราสารหนี้ที่ผู้กู้ชำระดอกเบี้ยพร้อมทยอยคืนเงินต้น,15.59656810760498
20,สมาชิกสามารถขอใช้ระบบสำรองของตลาดฯ ได้ ในกรณีที่ระบบการซื้อขายของสมาชิกขัดข้อง,2.9478068351745605
21,ผมเข้าใจว่าเป็นกระทู้ที่ไม่ดี ,16.6017427444458
22,ไม่ต้องมี,5.7450830936431885
23,เป็นผู้ประเมินอันดับความน่าเชื่อถือของหุ้นกู้ และผู้ออกหุ้นกู้,7.952666759490967
24,ตราสารหนี้ที่จะชำระดอกเบี้ยไปตลอด และไม่มีการชำระเงินต้นคืน,15.731976985931396
25,- เป็นกองทุนรวมหน่วยลงทุน ที่นำเงินไปลงทุนในกองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศ - กองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศที่เข้าลงทุน ส่วนใหญ่มีนโยบายการบริหารแบบเชิงรับ (Passive Management),31.409726858139038
26,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ 4.1 ผลตอบแทนของตราสารทุน ผลตอบแทนของตราสารทุนประกอบด้วย 1. ผลตอบแทนจากส่วนต่างราคา (Capital Gain) 2. ผลตอบแทนจากการปันผล (Dividend) 4.2 ผลตอบแทนจากการปันผล (Dividend) โดยทั่วไปแล้วเมื่อบริษัทมีกำไร บริษัทจะนำกำไรส่วนหนึ่งไปลงทุนขยายกิจการ อีกส่วนจะแบ่งคืนให้กับผู้ถือหุ้น ซึ่งเงินที่แบ่งคืนนี้เรียกว่า “เงินปันผล” (Cash Dividend) อย่างไรก็ตามในกรณีที่บริษัทต้องการกำไรทั้งหมดไปลงทุนต่อ บริษัทอาจเลือกจ่ายปันผลเป็นหุ้น (Stock Dividend) หรือไม่จ่ายเงินปันผลเลย,3.8248488903045654
27,เป็นการประเมินมูลค่าโดยใช้วิธีการเปรียบเทียบอัตราส่วนทางการเงินกับบริษัทอื่นที่มีลักษณะของธุรกิจคล้ายคลึงกัน หรืออาจเปรียบเทียบกับค่าเฉลี่ยของอุตสาหกรรม,1.7642199993133545
28,* เป็นการลงทุนในทิศทางที่ตรงข้ามกับคนส่วนใหญ่ * เป็นการลงทุนโดยดูความรู้สึก (Sentiment) ของคนส่วนใหญ่ เช่น การซื้อในขณะที่ผู้ลงทุนส่วนใหญ่กำลังขายเนื่องความกังวลจากข่าวร้ายต่างๆ,5.527084827423096
29,เมื่อกิจการมีผลกำไรที่ลดลง หรือ ต่ำกว่าที่ผู้ลงทุนส่วนใหญ่คาดการณ์ไว้ ราคาของหุ้นก็มักปรับตัวลดลง,2.787155866622925
30,ก็ได้ครับ ,14.002095222473145
